60	Al Horford	BOS	30	35	22	13	33.2	15.5	6.1	13.2	46.3	1.5	4.4	34.8	1.7	2.1	81.9	1.5	5.2	6.6	5.1	1.6	0.7	1.7	2.2	4	0	3.0
61	Serge Ibaka	ORL	27	46	18	28	30.3	15.2	6.2	12.6	48.9	1.5	3.9	39.3	1.4	1.7	81.8	1.8	5.2	7.0	1.0	1.2	0.6	1.6	2.5	6	0	-2.7
62	Nikola Jokic	DEN	21	40	18	22	25.8	15.2	6.1	10.3	59.5	0.5	1.6	33.3	2.5	3.0	81.7	2.7	5.7	8.4	3.9	1.9	0.8	0.8	3.1	17	0	2.7
63	Wesley Matthews	DAL	30	43	15	28	35.4	15.0	5.1	12.9	39.4	2.9	7.5	38.6	1.9	2.4	79.8	0.2	3.0	3.3	2.2	1.4	1.2	0.2	2.1	0	0	-4.0
64	Dion Waiters	MIA	25	26	11	15	30.2	14.9	5.8	14.2	41.1	1.5	4.0	37.9	1.7	2.7	64.3	0.4	2.9	3.3	3.9	2.1	0.8	0.4	2.4	0	0	-1.1
65	Nicolas Batum	CHA	28	43	22	21	34.6	14.8	4.9	12.5	39.6	1.6	4.9	32.5	3.3	3.9	84.6	0.7	6.6	7.3	5.9	2.5	1.1	0.4	1.6	11	1	2.7
66	Ersan Ilyasova	PHI	29	44	20	24	27.3	14.7	5.4	12.0	45.2	2.2	5.6	38.7	1.7	2.1	77.7	1.3	4.8	6.1	1.8	1.4	0.6	0.3	2.3	7	0	0.3
67	Enes Kanter	OKC	24	46	27	19	21.9	14.6	5.7	10.2	56.4	0.1	0.7	16.1	3.0	3.8	79.5	2.6	4.1	6.8	1.0	1.6	0.4	0.7	2.2	12	0	1.0
68	Kentavious Caldwell-Pope	DET	23	41	18	23	33.6	14.5	5.2	12.2	42.2	2.2	5.5	39.4	2.0	2.4	83.7	0.8	2.6	3.4	3.0	1.2	1.3	0.2	1.6	1	0	1.0
69	Jrue Holiday	NOP	26	31	16	15	30.8	14.5	5.5	12.6	43.3	1.5	3.8	39.0	2.1	2.9	71.1	0.5	2.9	3.5	7.2	2.6	1.5	0.5	2.5	5	0	-0.1
70	D'Angelo Russell	LAL	20	34	13	21	26.3	14.3	5.1	12.9	39.6	1.9	5.6	34.6	2.2	2.9	76.5	0.6	3.1	3.7	4.4	2.6	1.2	0.3	2.0	0	0	-2.8
71	Andre Drummond	DET	23	45	20	25	30.5	14.2	6.1	11.6	53.1	0.0	0.1	50.0	1.9	4.5	43.1	3.9	9.6	13.5	1.1	2.1	1.6	1.2	3.0	29	0	-3.2
72	Otto Porter	WAS	23	45	25	20	33.7	14.2	5.6	10.5	53.3	2.0	4.3	45.6	1.1	1.4	78.5	1.4	5.1	6.5	1.6	0.7	1.5	0.6	2.5	7	0	2.9
