70	Andre Drummond	DET	23	36	15	21	30.3	14.5	6.2	11.7	53.1	0.0	0.1	50.0	2.0	4.5	45.1	4.1	9.5	13.6	1.2	2.0	1.4	1.1	2.8	24	0	-2.9
71	Jrue Holiday	NOP	26	21	12	9	31.0	14.4	5.6	13.0	42.9	1.2	3.6	33.3	2.0	3.0	67.2	0.6	3.1	3.7	7.3	2.3	1.2	0.4	2.6	4	0	0.2
72	Rodney Hood	UTA	24	31	21	10	29.1	14.2	5.2	12.5	41.6	1.9	5.6	34.7	1.8	2.4	75.7	0.3	3.3	3.6	1.9	1.2	0.6	0.2	2.3	0	0	4.7
73	Dion Waiters	MIA	25	16	5	11	31.8	14.2	5.5	14.3	38.4	1.3	3.8	34.4	1.9	2.9	65.2	0.4	3.0	3.4	3.9	2.2	0.9	0.6	2.6	0	0	-1.0
74	Bojan Bogdanovic	BKN	27	33	8	25	26.9	14.2	4.8	10.8	44.4	1.7	4.8	35.0	2.8	3.3	85.5	0.5	2.7	3.2	1.4	1.3	0.4	0.1	1.9	0	0	-5.7
75	Otto Porter	WAS	23	34	16	18	33.7	14.1	5.6	10.4	53.8	1.7	4.0	43.0	1.1	1.4	81.3	1.5	5.1	6.6	1.4	0.8	1.6	0.6	2.8	6	0	1.9
76	Ryan Anderson	HOU	28	36	27	9	30.6	14.1	4.8	11.0	43.1	2.8	6.7	41.3	1.8	2.0	89.0	1.7	3.7	5.4	0.9	0.9	0.4	0.3	2.0	1	0	7.3
77	Dwight Howard	ATL	31	30	15	15	29.4	14.0	5.6	8.7	64.2	0.0	0.0	0.0	2.9	5.4	53.4	4.8	8.4	13.2	1.3	2.4	0.9	1.4	3.2	21	0	-1.0
78	Ersan Ilyasova	PHI	29	33	12	21	27.2	14.0	5.2	11.1	46.7	2.0	5.2	39.0	1.6	2.0	81.8	1.2	5.2	6.4	1.5	1.4	0.5	0.3	2.4	7	0	-0.8
79	Jordan Clarkson	LAL	24	38	13	25	27.7	14.0	5.6	12.5	44.5	1.3	3.9	34.0	1.5	2.0	77.3	0.8	2.1	3.0	2.2	2.0	1.3	0.1	1.8	0	0	-3.6
